error, attempt, epochs, momentum, maxAttempts, maxEpochsPerAttempt, epochSize, configuration, ms
20, 0, 735, 0.1, 8, 5000, 59, "1024-10-3", 9339
20, 1, 4241, 0.1, 8, 5000, 59, "1024-10-3", 117396
20, 0, 2436, 0.1, 8, 5000, 59, "1024-10-3", 30904
20, 0, 1198, 0.1, 8, 5000, 59, "1024-10-3", 15020
20, 0, 751, 0.1, 8, 5000, 59, "1024-10-3", 1261
20, 0, 351, 0.1, 8, 5000, 59, "1024-10-3", 562
20, 1, 379, 0.1, 8, 5000, 59, "1024-10-3", 8970
20, 2, 128, 0.1, 8, 5000, 59, "1024-10-3", 17022
20, 1, 116, 0.1, 8, 5000, 59, "1024-10-3", 8670
20, 2, 468, 0.1, 8, 5000, 59, "1024-10-3", 17516
20, 0, 622, 0.1, 8, 5000, 59, "1024-10-3", 1045
20, 0, 4048, 0.1, 8, 5000, 59, "1024-10-3", 6738
20, 0, 267, 0.1, 8, 5000, 59, "1024-10-3", 457
20, 0, 331, 0.1, 8, 5000, 59, "1024-10-3", 581
20, 0, 216, 0.1, 8, 5000, 59, "1024-10-3", 370
20, 0, 1434, 0.1, 8, 5000, 59, "1024-10-3", 2419
20, 0, 1889, 0.1, 8, 5000, 59, "1024-10-3", 3157
20, 0, 966, 0.1, 8, 5000, 59, "1024-10-3", 1616
20, 0, 927, 0.1, 8, 5000, 59, "1024-10-3", 1507
20, 0, 158, 0.1, 8, 5000, 59, "1024-10-3", 256
20, 0, 748, 0.1, 8, 5000, 59, "1024-10-3", 1267
20, 0, 2528, 0.1, 8, 5000, 59, "1024-10-3", 4259
20, 0, 694, 0.1, 8, 5000, 59, "1024-10-3", 1190
20, 0, 659, 0.1, 8, 5000, 59, "1024-10-3", 1114
20, 0, 3906, 0.1, 8, 5000, 59, "1024-10-3", 6447
20, 0, 331, 0.1, 8, 5000, 59, "1024-10-3", 534
20, 0, 304, 0.1, 8, 5000, 59, "1024-10-3", 508
20, 0, 576, 0.1, 8, 5000, 59, "1024-10-3", 948
20, 1, 245, 0.1, 8, 5000, 59, "1024-10-3", 8660
20, 0, 1730, 0.1, 8, 5000, 59, "1024-10-3", 2887
20, 1, 73, 0.1, 8, 5000, 59, "1024-10-3", 8456
20, 0, 2026, 0.1, 8, 5000, 59, "1024-10-3", 3424
20, 0, 1125, 0.1, 8, 5000, 59, "1024-10-3", 1910
20, 0, 224, 0.1, 8, 5000, 59, "1024-10-3", 373
20, 0, 3051, 0.1, 8, 5000, 59, "1024-10-3", 5048
20, 0, 3023, 0.1, 8, 5000, 59, "1024-10-3", 5100
20, 0, 1797, 0.1, 8, 5000, 59, "1024-10-3", 3008
20, 0, 300, 0.1, 8, 5000, 59, "1024-10-3", 515
20, 0, 4570, 0.1, 8, 5000, 59, "1024-10-3", 7695
20, 0, 871, 0.1, 8, 5000, 59, "1024-10-3", 1422
20, 0, 1519, 0.1, 8, 5000, 59, "1024-10-3", 2562
20, 0, 305, 0.1, 8, 5000, 59, "1024-10-3", 517
20, 0, 1924, 0.1, 8, 5000, 59, "1024-10-3", 3174
20, 0, 1788, 0.1, 8, 5000, 59, "1024-10-3", 2956
20, 0, 1342, 0.1, 8, 5000, 59, "1024-10-3", 2245
20, 0, 2259, 0.1, 8, 5000, 59, "1024-10-3", 3693
20, 2, 1308, 0.1, 8, 5000, 59, "1024-10-3", 19196
20, 0, 3397, 0.1, 8, 5000, 59, "1024-10-3", 5615
20, 0, 1633, 0.1, 8, 5000, 59, "1024-10-3", 2749
20, 0, 1189, 0.1, 8, 5000, 59, "1024-10-3", 1932
20, 1, 4619, 0.1, 8, 5000, 59, "1024-10-3", 15895
20, 0, 1107, 0.1, 8, 5000, 59, "1024-10-3", 1865
20, 1, 494, 0.1, 8, 5000, 59, "1024-10-3", 9254
